"Site","Quad","Species","trackID","Year","basalArea_genet","recruit","survives_tplus1","age","size_tplus1","nearEdge","Suspect"
"KS","e1q2-4","Andropogon gerardii","ANDGER_69_1",71,59.0129285692605,0,NA,2,NA,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_69_2",69,44.1396883761334,1,1,0,33.8444370495725,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_69_2",70,33.8444370495725,0,1,1,3.509398803981,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_69_2",72,3.509398803981,0,NA,2,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_72_1",72,0.58048720794,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_72_2",72,0.580489102315009,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_72_3",72,0.580484625516003,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_68_1",68,0.728377328814502,1,0,0,NA,FALSE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_69_1",69,512.104808578813,1,1,0,38.2157716637891,TRUE,TRUE
"KS","e1q2-5","Andropogon gerardii","ANDGER_69_1",70,38.2157716637891,0,1,1,0.715562450094149,TRUE,TRUE
"KS","e1q2-5","Andropogon gerardii","ANDGER_69_1",72,0.715562450094149,0,NA,2,NA,TRUE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_70_1",70,44.061112587927,1,1,0,16.153029445417,FALSE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_70_1",71,16.153029445417,0,1,1,43.899302662913,FALSE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_70_1",72,43.899302662913,0,NA,2,NA,FALSE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_70_2",70,29.5271315415636,1,1,0,13.7945404574995,FALSE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_70_2",71,13.7945404574995,0,1,1,64.8110493930511,FALSE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_70_2",72,64.8110493930511,0,NA,2,NA,FALSE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_72_1",72,8.4424954479365,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_72_2",72,0.715565953098299,1,NA,0,NA,TRUE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_72_3",72,0.715552589727249,1,NA,0,NA,TRUE,FALSE
"KS","e1q2-5","Andropogon gerardii","ANDGER_72_4",72,0.715561178994119,1,NA,0,NA,TRUE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_66_1",66,18.57391518608,1,1,0,68.9674976000059,FALSE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_66_1",67,68.9674976000059,0,1,1,182.273886784735,FALSE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_66_1",68,182.273886784735,0,1,2,156.380128111294,TRUE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_66_1",69,156.380128111294,0,1,3,446.175824448321,TRUE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_66_1",70,446.175824448321,0,1,4,466.444650406579,TRUE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_66_1",71,466.444650406579,0,1,5,196.25676284938,TRUE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_66_1",72,196.25676284938,0,NA,6,NA,TRUE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_69_1",69,19.0897622598245,1,0,0,NA,FALSE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_69_2",69,19.1005105606395,1,0,0,NA,FALSE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_69_3",69,20.5295634802129,1,1,0,287.118465049978,FALSE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_69_3",70,287.118465049978,0,1,1,136.006254602209,FALSE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_69_3",71,136.006254602209,0,1,2,233.720030368422,FALSE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_69_3",72,233.720030368422,0,NA,3,NA,FALSE,FALSE
"KS","e1q2-6","Andropogon gerardii","ANDGER_71_1",71,72.7257242938448,1,1,0,13.43373039467,TRUE,FALSE
